Спортивный объект;Административный округ;Район;Адрес;Ведомсвенная организация;Доступность;Долгота;Широта
Дворовая территория;;;проспект Вернадского, дом 37, корпус 1Б;Префектура Западного административного округа города Москвы;Шаговая доступность;37.510643;55.677942
Дворовая территория;;;Мосфильмовская улица, дом 11, корпус 3;Префектура Западного административного округа города Москвы;Шаговая доступность;37.524242;55.716652
Дворовая территория;;;улица Исаковского, дом 31, строение 1;Префектура Северо-Западного административного округа города Москвы;Шаговая доступность;37.42028382209014;55.8058771033586
Дворовая территория;;;улица Исаковского, дом 22, корпус 1;Префектура Северо-Западного административного округа города Москвы;Шаговая доступность;37.41271374603269;55.809850289435545
Дворовая территория;;;улица Исаковского, дом 8, корпус 2;Префектура Северо-Западного административного округа города Москвы;Шаговая доступность;37.403953;55.814588
Дворовая территория;;;улица Кулакова, дом 4, корпус 1;Префектура Северо-Западного административного округа города Москвы;Шаговая доступность;37.399340469867035;55.81492966930318
Дворовая территория;;;Мичуринский проспект, дом 27Б, строение 5;Префектура Западного административного округа города Москвы;Шаговая доступность;37.502893;55.694317
Дворовая территория;;;2-я Вольская улица, дом 6;Управа района Некрасовка города Москвы;Шаговая доступность;37.921005;55.685234
Дворовая территория;;;улица Ухтомского Ополчения, дом 1;Управа района Некрасовка города Москвы;Шаговая доступность;37.924509;55.700958
Дворовая территория;;;Покровская улица, дом 23;Управа района Некрасовка города Москвы;Шаговая доступность;37.928174;55.702318
Дворовая территория;;;Покровская улица, дом 21;Управа района Некрасовка города Москвы;Шаговая доступность;37.930033;55.70142
Дворовая территория;;;улица Ухтомского Ополчения, дом 5;Управа района Некрасовка города Москвы;Шаговая доступность;37.928255;55.69899
Дворовая территория;;;Покровская улица, дом 23;Управа района Некрасовка города Москвы;Шаговая доступность;37.931108336662284;55.69891597134462
Дворовая территория;;;Покровская улица, дом 31;Управа района Некрасовка города Москвы;Шаговая доступность;37.9339231040206;55.69880343822545
Дворовая территория;;;Петрозаводская улица, дом 13, корпус 2;Префектура Северного административного округа города Москвы;Шаговая доступность;37.491902;55.866346
Дворовая территория;;;Фестивальная улица, дом 25;Префектура Северного административного округа города Москвы;Шаговая доступность;37.478657;55.857937
Дворовая территория;;;Левобережная улица, дом 4, корпус 10;Префектура Северного административного округа города Москвы;Шаговая доступность;37.480697228718945;55.869473844055626
Дворовая территория;;;улица Раменки, дом 20;Префектура Западного административного округа города Москвы;Шаговая доступность;37.487730;55.689349
Спортивный комплекс образовательного учреждения;;;улица Верхние Поля, дом 40, корпус 1;Департамент образования и науки города Москвы;Шаговая доступность;37.77387504400447;55.66604946097837
Дворовая территория;;;Покровская улица, дом 37;Управа района Некрасовка города Москвы;Шаговая доступность;37.94200992874144;55.69980942295815
Дворовая территория;;;улица Покрышкина, дом 11;Префектура Западного административного округа города Москвы;Шаговая доступность;37.469008;55.665693
Дворовая территория;;;улица Покрышкина, дом 9;Префектура Западного административного округа города Москвы;Шаговая доступность;37.465569;55.663650
Дворовая территория;;;Покровская улица, дом 35;Управа района Некрасовка города Москвы;Шаговая доступность;37.943206254150375;55.701813376031595
Дворовая территория;;;Покровская улица, дом 37;Управа района Некрасовка города Москвы;Шаговая доступность;37.93669;55.699533
Дворовая территория;;;улица Недорубова, дом 11;Управа района Некрасовка города Москвы;Шаговая доступность;37.93616;55.701836
Дворовая территория;;;улица Недорубова, дом 22;Управа района Некрасовка города Москвы;Шаговая доступность;37.936896;55.702794
Дворовая территория;;;Покровская улица, дом 39;Управа района Некрасовка города Москвы;Шаговая доступность;37.932477;55.701607
Дворовая территория;;;улица Недорубова, дом 15;Управа района Некрасовка города Москвы;Шаговая доступность;37.933833;55.703322
Дворовая территория;;;улица Липчанского, дом 2;Управа района Некрасовка города Москвы;Шаговая доступность;37.934121;55.704184
Дворовая территория;;;улица Липчанского, дом 1;Управа района Некрасовка города Москвы;Шаговая доступность;37.93386;55.705255
Дворовая территория;;;улица Недорубова, дом 21;Управа района Некрасовка города Москвы;Шаговая доступность;37.933285;55.706203
Дворовая территория;;;Озёрная улица, дом 35, строение 1;Префектура Западного административного округа города Москвы;Шаговая доступность;37.448247;55.669194
Дворовая территория;;;Никулинская улица, дом 27, корпус 2;Префектура Западного административного округа города Москвы;Шаговая доступность;37.451106;55.670178
Дворовая территория;;;Клинская улица, дом 19, строение 2;Управа района Ховрино города Москвы;Шаговая доступность;37.49466006745869;55.868884782428715
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица Академика Анохина, дом 9, корпус 1;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.47378459986112;55.65839425152593
Дворовая территория;;;Озёрная улица, владение 2Б, строение 3;Префектура Западного административного округа города Москвы;Шаговая доступность;37.46286927297625;55.68551940275348
Дворовая территория;;;Озёрная улица, дом 23, корпус 2;Префектура Западного административного округа города Москвы;Шаговая доступность;37.457273990646314;55.67616025529984
Дворовая территория;Западный административный округ;район Очаково-Матвеевское;Озёрная улица, дом 2, корпус 3;Управа района Очаково-Матвеевское города Москвы;Шаговая доступность;37.467957266200465;55.68893709289905
Дворовая территория;Западный административный округ;район Раменки;улица Лобачевского, дом 118, строение 5;Префектура Западного административного округа города Москвы;Шаговая доступность;37.470404;55.693510
Дворовая территория;;;проезд Стройкомбината, владение 1, строение 53;Префектура Западного административного округа города Москвы;Шаговая доступность;37.452812;55.687367
Дворовая территория;;;улица Недорубова, дом 26;Управа района Некрасовка города Москвы;Шаговая доступность;37.93704;55.70706
Дворовая территория;;;Рождественская улица, дом 23/33;Управа района Некрасовка города Москвы;Шаговая доступность;37.920691;55.705488
Дворовая территория;;;Рождественская улица, дом 21, корпус 1;Управа района Некрасовка города Москвы;Шаговая доступность;37.919002;55.704408
