Спортивный объект;Административный округ;Район;Адрес;Ведомсвенная организация;Доступность;Долгота;Широта
Парк Победы на Поклонной горе;Западный административный округ;район Дорогомилово;площадь Победы, дом 3, строение 2;Департамент жилищно-коммунального хозяйства города Москвы;Городское;37.506945;55.731632
Парк (озелененная городская территория) «Измайловский Парк»;Восточный административный округ;район Измайлово;аллея Большого Круга, дом 7;Департамент культуры города Москвы;Городское;37.75084560284093;55.768863439407006
Конно-спортивная база «Спортивная школа «Битца»;Южный административный округ;район Чертаново Северное;Балаклавский проспект, дом 33;Москомспорт.;Городское;37.58309683257861;55.642149702850396
Стадион «Москвич»;Юго-Восточный административный округ;район Текстильщики;Волгоградский проспект, дом 46/15, строение 1;Москомспорт.;Городское;37.73558056764985;55.70793899262102
Стадион «Российский университет дружбы народов»;Юго-Западный административный округ;Обручевский район;улица Миклухо-Маклая, дом 6;Минобрнауки России;Городское;37.494458968547804;55.65243146018574
Горнолыжный комплекс «Воробьёвы горы»;Западный административный округ;район Раменки;улица Косыгина, дом 28;Москомспорт.;Городское;37.54563849395554;55.709715886304274
Конно-спортивная база Государственного бюджетного учреждения города Москвы «Центр олимпийской подготовки» Департамента спорта города Москвы;Восточный административный округ;район Восточный;Западная улица, дом 16, строение 5;Москомспорт.;Городское;37.87582587450724;55.81450627658087
Стадион «Авангард»;Восточный административный округ;район Перово;шоссе Энтузиастов, дом 33;Москомспорт.;Городское;37.774303794235685;55.76412216337055
Государственное автономное учреждение культуры города Москвы «Центральный парк культуры и отдыха имени М. Горького»;Центральный административный округ;район Якиманка;улица Крымский Вал, дом 9, строение 1;Департамент культуры города Москвы;Городское;37.60186896029661;55.73003622481538
Многофункциональный спортивный комплекс «Центр спортивных технологий и сборных команд»;Центральный административный округ;Мещанский район;улица Советской Армии, дом 6;Москомспорт.;Городское;37.617356469905104;55.78707307430818
Стадион «Фили»;Западный административный округ;район Филёвский Парк;Новозаводская улица, дом 27А, строение 1;Государственная корпорация по космической деятельности «Роскосмос»;Городское;37.498788;55.749886
Спортивно-горнолыжная база «Крылатские холмы»;Западный административный округ;район Филёвский Парк;Рублёвское шоссе, дом 24, корпус 5;Министерство обороны Российской Федерации;Городское;37.43257532957673;55.744921692398705
Открытый ледовый каток «ГУМ-каток на Красной Площади»;Центральный административный округ;Тверской район;Красная площадь, дом 3;Департамент жилищно-коммунального хозяйства города Москвы;Городское;37.620861402900275;55.754754046921974
Дворец спорта «Мегаспорт» имени А.В. Тарасова;Северный административный округ;Хорошёвский район;Ходынский бульвар, дом 3;Москомспорт.;Городское;37.53970844047512;55.78654759089844
Спортивный комплекс «Куркино»;Северо-Западный административный округ;район Куркино;Куркинское шоссе, дом 25;Москомспорт.;Городское;37.38681923267438;55.881480967052035
Ледовый дворец «Крылатское»;Западный административный округ;район Крылатское;Крылатская улица, дом 16;Москомспорт.;Городское;37.435052838216194;55.76654176094798
Дворец спорта «Баскет Холл Москва»;Западный административный округ;район Крылатское;Островная улица, дом 7;Москомспорт.;Городское;37.44342813184512;55.75723419759565
Гребной канал Москва;Западный административный округ;район Крылатское;Крылатская улица, дом 2, строение 19;Москомспорт.;Городское;37.44148259900073;55.75315121008813
Спортивный комплекс «Ново-Переделкино»;Западный административный округ;район Ново-Переделкино;Проектируемый проезд № 635, дом 9, корпус 1;Москомспорт.;Городское;37.37445397218225;55.62819892063174
Спортивный комплекс «Севастопольский проспект»;Юго-Западный административный округ;район Ясенево;Севастопольский проспект, дом 66;Москомспорт.;Городское;37.54260349737389;55.626854386933196
Спортивный комплекс «Северное Бутово»;Юго-Западный административный округ;район Северное Бутово;Старокачаловская улица, дом 22, строение 1;Москомспорт.;Городское;37.583263489179494;55.571215296695684
Конноспортивная база «ГБУ «СШОР «Северный» Москомспорта»;Северо-Восточный административный округ;район Северный;9-я Северная линия, дом 1Б, строение 4;Москомспорт.;Городское;37.555166;55.937215
Дворец спорта «Москвич»;Юго-Восточный административный округ;район Текстильщики;Люблинская улица, дом 15/46, строение 7;Москомспорт.;Городское;37.731765747742074;55.706780744887965
Конноспортивный комплекс «Кузьминки-Люблино»;Юго-Восточный административный округ;район Кузьминки;улица Заречье, дом 7, строение 3;Москомспорт.;Городское;37.775040205030535;55.68813044767381
Дворец спорта «Янтарь»;Северо-Западный административный округ;район Строгино;улица Маршала Катукова, дом 22;Москомспорт.;Городское;37.411355;55.804481
Стадион «Янтарь»;Северо-Западный административный округ;район Строгино;улица Маршала Катукова, дом 26;Москомспорт.;Городское;37.41405857961195;55.80122674108173
Стадион «Московский государственный университет имени М. В. Ломоносова»;Западный административный округ;район Раменки;Ленинские Горы, дом 1, строение 70;Минобрнауки России;Городское;37.53669097784021;55.700875858023025
Крытый легкоатлетическо-футбольный комплекс ЦСКА;Северный административный округ;Хорошёвский район;Ленинградский проспект, дом 39, строение 1;Министерство обороны Российской Федерации;Городское;37.539008202377296;55.79121519191859
Универсальный спортивный комплекс «ЦСКА»;Северный административный округ;Хорошёвский район;Ленинградский проспект, дом 39, строение 3;Министерство обороны Российской Федерации;Городское;37.54264531282804;55.78913018951595
Конноспортивная база «Эльф»;Юго-Западный административный округ;район Тёплый Стан;Ленинский проспект, дом 137Б;Департамент образования и науки города Москвы;Городское;37.47423296800614;55.64146292577646
Стадион «Воробьёвы горы»;Юго-Западный административный округ;Гагаринский район;улица Косыгина, дом 17, строение 1;Департамент образования и науки города Москвы;Городское;37.55878850695347;55.70395277254119
Центр технических видов спорта «Москва»;Юго-Восточный административный округ;район Печатники;Проектируемый проезд N 4386, дом 1А;Москомспорт.;Городское;37.676931242521235;55.65341297575182
Международный центр самбо и бокса на территории Олимпийского комплекса «Лужники»;;;Новолужнецкий проезд, дом 15;Москомспорт.;Городское;37.55164750653639;55.72306692481892
Горнолыжный комплекс;;;село Ознобишино, дом 116;Москомспорт.;Городское;37.44056470150755;55.3872460446137
Физкультурно-оздоровительный комплекс с бассейном «на пересечении Кутузовского шоссе и проезда 809»;Зеленоградский административный округ;район Крюково;деревня Кутузово, дом 38;Москомспорт.;Городское;37.18895106486507;55.96076436539141
Физкультурно-оздоровительный комплекс «Для пляжных видов спорта на ул. Фестивальная»;;;Фестивальная улица, дом 6, строение 1;Москомспорт.;Городское;37.486293;55.857867
Крытое сооружение с искусственным льдом «Арена на Мосфильмовской»;Западный административный округ;район Раменки;Мосфильмовская улица, дом 41, корпус 2;Москомспорт.;Городское;37.510907187835144;55.70975393028924
Физкультурно-оздоровительный комплекс «Центр тенниса «МФ41» на Мосфильмовской»;;;Мосфильмовская улица, дом 41, корпус 2;Москомспорт.;Городское;37.51008374966758;55.71043235299448
Спортивный комплекс дошкольного образовательного учреждения;;;деревня Щербинка, дом 16;Департамент образования и науки города Москвы;Городское;37.538542457672094;55.50350406056446
Спортивный комплекс образовательного учреждения;;;деревня Щербинка, дом 25;Департамент образования и науки города Москвы;Городское;37.54065824911403;55.49853994483549
Дворовая территория;;;Большая Очаковская улица, дом 41;Управа района Очаково-Матвеевское города Москвы;Городское;37.447431;55.676088
Дворец тенниса в составе Национального теннисного центра России им. Хауна Антонио Самаранча;;;Ленинградское шоссе, дом 45Б, строение 3;Департамент строительства города Москвы;Городское;37.476676;55.843862
Дворовая территория;;;город Зеленоград, корпус 2027;Управа района Крюково города Москвы;Городское;37.171119;55.97469
Дворовая территория;;;город Зеленоград, корпус 2043;Управа района Крюково города Москвы;Городское;37.173284;55.971723
Дворовая территория;;;город Зеленоград, корпус 2024;Управа района Крюково города Москвы;Городское;37.168738;55.975617
Дворовая территория;;;город Зеленоград, корпус 2044;Управа района Крюково города Москвы;Городское;37.175017;55.970983
Федеральная служба исполнения наказаний;;;улица Панфилова, дом 21, строение 1;ФСИН России;Городское;37.170086;55.987115
Парк, озелененная городская территория «Парк культуры и отдыха «Красная Пресня»»;Центральный административный округ;Пресненский район;Мантулинская улица, дом 5, строение 2;Департамент культуры города Москвы;Окружное;37.55155865005101;55.75389495991736
Стадион «ГБУ «СШ № 4» Москомспорта»;Юго-Восточный административный округ;район Некрасовка;2-я Вольская улица, дом 16, корпус 3;Москомспорт.;Окружное;37.92349615211403;55.68485490247633
Спортивный комплекс «Чертаново»;Южный административный округ;район Чертаново Северное;Кировоградская улица, дом 10А;Москомспорт.;Окружное;37.606631;55.626431
Парк, особо охраняемая природная территория «Москворецкий»;Северо-Западный административный округ;район Щукино;Живописная улица, дом 50;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.449358440786476;55.802818786069984
Парк, озелененная городская территория «Северное Тушино»;Северо-Западный административный округ;район Северное Тушино;улица Свободы, дом 52;Департамент культуры города Москвы;Окружное;37.44997636236761;55.86107899401639
Парк, озелененная городская территория «Джамгаровский парк»;Северо-Восточный административный округ;Лосиноостровский район;Стартовая улица, дом 10;Департамент культуры города Москвы;Окружное;37.69652871827696;55.88867736399083
Комплекс спортивных сооружений «Борисовские Пруды» ГБУ «СШОР № 44» Департамента спорта города Москвы;Южный административный округ;район Москворечье-Сабурово;улица Борисовские Пруды, дом 2;Москомспорт.;Окружное;37.703898678441945;55.63461845570866
Парк культуры и отдыха «Фили»;Западный административный округ;район Филёвский Парк;Большая Филёвская улица, дом 22, строение 2;Департамент культуры города Москвы;Окружное;37.48382881385171;55.7482954863979
Пойма реки Яуза вдоль улицы Северодвинская;Северо-Восточный административный округ;район Северное Медведково;Северодвинская улица, дом 21;Префектура Северо-Восточного административного округа города Москвы;Окружное;37.682212561226564;55.89065376155369
Парк, озелененная городская территория «Парк культуры и отдыха «Кузьминки»;Юго-Восточный административный округ;район Кузьминки;Кузьминский парк, дом 1, строение 2;Департамент культуры города Москвы;Окружное;37.76603348819935;55.6939419662619
Государственное автономное учреждение культуры города Москвы «МПК «Северное Тушино» парк «Дружба»;Северный административный округ;район Левобережный;Флотская улица, дом 1, строение 2;Департамент культуры города Москвы;Окружное;37.47915253584279;55.85186203452645
Парк по Борисовским прудам;Южный административный округ;район Орехово-Борисово Северное;улица Маршала Захарова, дом 10, корпус 2;Департамент культуры города Москвы;Окружное;37.699708807328754;55.62589704545755
Спортивный комплекс высшего учебного заведения «РАНХиГС»;Южный административный округ;район Нагатино-Садовники;улица Садовники, дом 4, корпус 2;Минобрнауки России;Окружное;37.65123652629977;55.675609515769516
Природно-исторический парк «Кузьминки-Люблино»;Юго-Восточный административный округ;район Выхино-Жулебино;Тополёвая аллея, дом 16;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.801907;55.689674
Парк «Сад культуры и отдыха имени Н.Э. Баумана»;Центральный административный округ;Басманный район;Старая Басманная улица, дом 15А, строение 4;Департамент культуры города Москвы;Окружное;37.660404;55.765853
Стадион «Энергия» Спортивный комбинат Московского энергетического института (МЭИ);Юго-Восточный административный округ;район Лефортово;2-й Краснокурсантский проезд, дом 12, строение 7;Минобрнауки России;Окружное;37.701613400728604;55.762987730441424
Стадион Московского государственного института международных отношений;Западный административный округ;район Проспект Вернадского;проспект Вернадского, владение 76Б, строение 1;Минобрнауки России;Окружное;37.48307626320783;55.67406249241708
Парк по Ангарской улице;Северный административный округ;Дмитровский район;Ангарская улица, дом 53, корпус 1;Департамент культуры города Москвы;Окружное;37.52908947934584;55.88214995946671
Парк «Северные Дубки»;Северный административный округ;район Восточное Дегунино;Керамический проезд, дом 65, корпус 1;Префектура Северного административного округа города Москвы;Окружное;37.56341645766976;55.88736724959721
Природно-исторический парк «Кузьминки-Люблино»;Юго-Восточный административный округ;район Люблино;улица Заречье, владение 14;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.80938477100698;55.67504898244791
Парк, озелененная городская территория «25 квартал Баковского лесопарка ПК №178»;Западный административный округ;район Ново-Переделкино;11-я Чоботовская аллея, дом 21/5, строение 1;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.35721608018555;55.64525835011366
Зона отдыха «Борисовские пруды»;Южный административный округ;район Москворечье-Сабурово;улица Борисовские Пруды, дом 1, строение 15А;Департамент культуры города Москвы;Окружное;37.70630918199898;55.6335737096926
Скейтпарк «Каньон»;Северо-Восточный административный округ;Бабушкинский район;Осташковская улица, дом 21, строение 1;Управа Бабушкинского района города Москвы;Окружное;37.673906;55.881747
Парк, озелененная городская территория;Юго-Восточный административный округ;район Выхино-Жулебино;Ферганский проезд, дом 7, корпус 5;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.827491550817854;55.6929496628897
Тренажерный городок парка «Кузьминки-Люблино»;Юго-Восточный административный округ;район Текстильщики;улица Шкулёва, дом 4, строение 9;Префектура Юго-Восточного административного округа города Москвы;Окружное;37.749447770040625;55.69104355723372
Парк, озелененная городская территория;Юго-Восточный административный округ;район Выхино-Жулебино;улица Чугунные Ворота, дом 3, корпус 1;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.795142;55.696428
Поле футбольное парка «Кузьминки-Люблино»;Юго-Восточный административный округ;район Люблино;улица Степана Шутова, дом 2;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.813782;55.673382
Крытое сооружение с искусственным льдом «Медведково»;Северо-Восточный административный округ;район Южное Медведково;Заповедная улица, дом 5;Москомспорт.;Окружное;37.634515;55.866005
Крытое сооружение с искусственным льдом «Ледовый дворец «Мечта»;Северо-Восточный административный округ;район Бибирево;улица Конёнкова, дом 10Б;Москомспорт.;Окружное;37.614994;55.891173
Парк (озелененная городская территория) «Юго-Западный лесопарк»;Юго-Западный административный округ;Обручевский район;улица 26-ти Бакинских Комиссаров, дом 4, корпус 4;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.50420710456847;55.65862938361701
Спортивный комплекс высшего учебного заведения «Российский государственный социальный университет»;Восточный административный округ;район Метрогородок;Лосиноостровская улица, дом 24, строение 1;Минобрнауки России;Окружное;37.720505938675075;55.82575436513541
Спортивный комплекс высшего учебного заведения «Московский энергетический институт (МЭИ)»;Юго-Восточный административный округ;район Лефортово;2-й Краснокурсантский проезд, дом 12, строение 1;Минобрнауки России;Окружное;37.703631;55.762277
Гребная учебно-спортивная база ЦСК ВМФ РФ «Серебряный бор»;Северо-Западный административный округ;район Хорошёво-Мнёвники;Таманская улица, владение 1, корпус 5, строение 2;Министерство обороны Российской Федерации;Окружное;37.433768;55.775231
Спортивный комплекс высшего учебного заведения «Металлург»;Юго-Западный административный округ;район Коньково;Профсоюзная улица, дом 83Б;Минобрнауки России;Окружное;37.530148;55.64478
Комплекс спортивных сооружений «Старт»;Юго-Западный административный округ;район Коньково;улица Введенского, дом 1;Государственная корпорация по космической деятельности «Роскосмос»;Окружное;37.55283267857313;55.64898514627319
Учреждение культуры города Москвы «Усадьба Воронцово»;Юго-Западный административный округ;Обручевский район;Воронцовский парк, дом 3;Департамент культуры города Москвы;Окружное;37.531963;55.6673
Спортивный комплекс высшего учебного заведения «ФГБОУ ВО «Московский политехнический университет»»;Восточный административный округ;район Соколиная Гора;Большая Семёновская улица, дом 38;Минобрнауки России;Окружное;37.711508418923636;55.78129123268122
Парк «Гольяново»;Восточный административный округ;район Гольяново;Алтайская улица, дом 4;Управа района Гольяново города Москвы;Окружное;37.80274273522939;55.82020671941738
Спортивный комплекс высшего учебного заведения «Московский государственный гуманитарно-экономический университет»;Восточный административный округ;район Метрогородок;Лосиноостровская улица, дом 49, строение 1;Минобрнауки России;Окружное;37.72674712200028;55.82804577660209
Парк, озелененная городская территория «Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»;Восточный административный округ;район Сокольники;проезд Сокольнического Круга, дом 5;Департамент культуры города Москвы;Окружное;37.67927163601691;55.79330923640726
Государственное автономное образовательное учреждение высшего образования Московский государственный университет спорта и туризма (Восточный кампус);Восточный административный округ;район Преображенское;улица Атарбекова, дом 3;Москомспорт.;Окружное;37.70564884026541;55.79711616819867
Крытое сооружение с искусственным льдом «Ледо»;Восточный административный округ;район Вешняки;улица Юности, дом 1;Префектура Восточного административного округа города Москвы;Окружное;37.817218914031955;55.736502398203704
Парк, озелененная городская территория «Делегатский парк»;Центральный административный округ;Тверской район;2-й Щемиловский переулок, дом 4;Префектура Центрального административного округа города Москвы;Окружное;37.611401;55.776943
Спортивный комплекс «Вымпел»;Восточный административный округ;район Новогиреево;Федеративный проспект, дом 31А, строение 1;Москомспорт.;Окружное;37.824664635581954;55.75485393332682
Парк, озелененная городская территория «Лесопарковая зона «Лосиный остров»»;Восточный административный округ;район Богородское;улица Богатырский Мост, дом 17А;Министерство природных ресурсов и экологии Российской Федерации;Окружное;37.71617996545175;55.82241304029277
ВМХ-велодром «Амурский»;Восточный административный округ;район Гольяново;Амурская улица, дом 16, строение 1;Москомспорт.;Окружное;37.75973536696702;55.807155360683865
Спортивный комплекс «Измайлово»;Восточный административный округ;район Северное Измайлово;11-я Парковая улица, дом 49;Москомспорт.;Окружное;37.803631;55.80616
Спортивный комплекс высшего учебного заведения;Южный административный округ;район Чертаново Южное;Кировоградская улица, дом 25, корпус 2;Минобрнауки России;Окружное;37.597342;55.59689
Парк, озелененная городская территория «Парк культуры и отдыха в Садовниках»;Южный административный округ;район Нагатино-Садовники;проспект Андропова, дом 58А;Департамент культуры города Москвы;Окружное;37.650886251944115;55.66242855363894
Спортивный комплекс высшего учебного заведения;Южный административный округ;Донской район;Малая Калужская улица, дом 1;Минобрнауки России;Окружное;37.60078238486235;55.71985385424881
Спортивный комплекс высшего учебного заведения «Московский государственный университет имени Михаила Васильевича Ломоносова»;Западный административный округ;район Раменки;Ленинские Горы, дом 1;Минобрнауки России;Окружное;37.530822;55.702952
Яблоневый сад Зябликово;Южный административный округ;район Зябликово;Ореховый проезд, дом 41;Управа района Зябликово города Москвы;Окружное;37.72936019275616;55.61710884100237
Спортивный комплекс высшего учебного заведения «Московский государственный технический университет имени Н.Э. Баумана»;Центральный административный округ;Басманный район;Госпитальная набережная, дом 4, строение 2;Минобрнауки России;Окружное;37.69775789100696;55.77221040847632
Усадьба «Коломенское»;Южный административный округ;район Нагатинский Затон;проспект Андропова, дом 39;Департамент культуры города Москвы;Окружное;37.66330891136166;55.66080339292755
Спортивный комплекс высшего учебного заведения «Физкультурно-оздоровительный комплекс Московской государственной академии водного транспорта»;Южный административный округ;район Нагатинский Затон;Судостроительная улица, дом 46, корпус 2;Минобрнауки России;Окружное;37.696516;55.686746
Стадион «Медик»;Западный административный округ;район Кунцево;улица Маршала Тимошенко, дом 1;Управление делами Президента Российской Федерации;Окружное;37.39365789220423;55.741208885609836
Спортивный комплекс высшего учебного заведения «Московский гуманитарный педагогический институт»;Центральный административный округ;Тверской район;Садовая-Самотёчная улица, дом 8;Минобрнауки России;Окружное;37.61437697521351;55.773028873406446
Комплекс спортивных сооружений «Спортивный комплекс Вершина»;Южный административный округ;район Орехово-Борисово Южное;Шипиловский проезд, дом 63, корпус 1;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.7071927448706;55.60046110195688
Стадион (менее 1500 мест) «Стадион «Слава»;Центральный административный округ;Тверской район;Селезнёвская улица, дом 13, строение 2;Территориальное Управление федерального Агентства по управлению государственным имуществом в городе Москве;Окружное;37.605799375851824;55.78123772721914
Парк (озелененная городская территория) «Детский парк «имени Прямикова»»;Центральный административный округ;Таганский район;Таганская улица, дом 15, строение 1;Департамент культуры города Москвы;Окружное;37.66291215500442;55.741111088497014
Парк (озелененная городская территория) «Зона отдыха «Белое озеро»;Восточный административный округ;район Косино-Ухтомский;Заозёрная улица, дом 18А;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.84903126676386;55.717193654285204
Лесопарковая зона «Лосиный остров»;Восточный административный округ;район Гольяново;Курганская улица, дом 3;Министерство природных ресурсов и экологии Российской Федерации;Окружное;37.79906399005016;55.82875796575081
Стадион (менее 1500 мест) «Буревестник»;Центральный административный округ;район Хамовники;улица Плющиха, дом 57;Министерство здравоохранения Российской Федерации;Окружное;37.57571164550222;55.73677357610918
Стадион «Красный Октябрь»;Северо-Западный административный округ;район Покровское-Стрешнево;;Москомспорт.;Окружное;37.44289534323883;55.82832371269544
Физкультурно-оздоровительный комплекс Академии Управления МВД РФ;Северный административный округ;Войковский район;5-й Новоподмосковный переулок, дом 1, строение 1;Министерство внутренних дел Российской Федерации;Окружное;37.507042365081766;55.82157496684546
Тимирязевский лесопарк;Северный административный округ;район Коптево;Большая Академическая улица, дом 28;Министерство сельского хозяйства Российской Федерации;Окружное;37.531981;55.828147
Спортивный комплекс высшего учебного заведения «Московский авиационный институт»;Северный административный округ;Тимирязевский район;Большая Академическая улица, дом 38;Минобрнауки России;Окружное;37.535280299865114;55.83250730397717
Парк, озелененная городская территория «Дегунинский пруд»;Северный административный округ;район Западное Дегунино;Дегунинская улица, дом 15;Управа района Западное Дегунино города Москвы;Окружное;37.532682;55.866576
Крытое сооружение с искусственным льдом «Вдохновение»;Центральный административный округ;Таганский район;Новорогожская улица, дом 25, строение 4;Москомспорт.;Окружное;37.689880740961605;55.74167153857357
Парк (озелененная городская территория) «Парк им. Святослава Федорова»;Северный административный округ;Бескудниковский район;Дмитровское шоссе, дом 82;Управа Бескудниковского района города Москвы;Окружное;37.54976392241295;55.86527586112353
Спортивный комплекс высшего учебного заведения «Академия Управления МВД РФ»;Северный административный округ;район Коптево;Коптевская улица, дом 63;Министерство внутренних дел Российской Федерации;Окружное;37.516613962489586;55.82832087541378
Парк, озелененная городская территория «Парк имени Воровского»;Северный административный округ;Войковский район;Ленинградское шоссе, дом 10;Префектура Северного административного округа города Москвы;Окружное;37.500985204301976;55.81959015042219
Спортивный комплекс высшего учебного заведения «Московской сельскохозяйственной академии им. К.А. Тимирязева»;Северный административный округ;Тимирязевский район;Лиственничная аллея, дом 12Б;Министерство сельского хозяйства Российской Федерации;Окружное;37.56487168584443;55.83414105003116
Парк-усадьба «Михалково»;Северный административный округ;Головинский район;Михалковская улица, дом 38;Управа Головинского района города Москвы;Окружное;37.518619165164694;55.84140830783995
Парк «Дубки»;Северный административный округ;Тимирязевский район;улица Дубки, дом 6;Департамент культуры города Москвы;Окружное;37.564800032811874;55.81941926803651
Особо охраняемая природная территория Ландшафтный заказник Химкинский»»;Северный административный округ;район Ховрино;улица Дыбенко, дом 5;Департамент природопользования и охраны окружающей среды города Москвы;Окружное;37.480945862191234;55.87282895214963
Спортивный зал Академии управления Министерства внутренних дел;Северный административный округ;Войковский район;улица Зои и Александра Космодемьянских, дом 8, корпус 3;Министерство внутренних дел Российской Федерации;Окружное;37.50609079004759;55.81919439522011
